2025-12-13 18:03:16,328 | INFO | test | Notebook imports working perfectly
2026-01-17 01:25:39,689 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-17 01:26:03,477 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
2026-01-17 23:29:29,435 | INFO | climate_eda | Phase 1 snapshot saved to d:\def_main\Code\MyProjects\eda-mlops-portfolio\datasets\processed\climate\openaq_processed.csv
2026-01-17 23:29:30,390 | INFO | climate_eda | Pollutants removed (less than 10 observations): {'um003', 'relativehumidity', 'temperature', 'pm1'}
2026-01-17 23:29:30,392 | INFO | climate_eda | Remaining pollutants: ['pm2.5', 'no2', 'co', 'pm10', 'so2', 'o3']
2026-01-18 04:20:41,945 | INFO | domain2_phase1_health | Starting WHO GHE DALY ingestion
2026-01-18 04:20:46,338 | INFO | domain2_phase1_health | WHO GHE DALY ingestion completed
2026-01-18 04:28:28,678 | INFO | n4_phase1_ingestion | Loaded UNODC homicide dataset
2026-01-18 04:28:28,790 | INFO | n4_phase1_ingestion | Loaded WHO road traffic mortality dataset
2026-01-18 04:28:38,765 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-18 04:29:03,912 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
2026-01-18 04:54:16,172 | INFO | n4_phase1_ingestion | Loaded UNODC homicide dataset
2026-01-18 04:54:16,256 | INFO | n4_phase1_ingestion | Loaded WHO road traffic mortality dataset
2026-01-18 04:54:25,740 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-18 04:54:52,360 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
2026-01-18 05:24:50,717 | INFO | n4_phase1_ingestion | Loaded UNODC homicide dataset
2026-01-18 05:24:50,802 | INFO | n4_phase1_ingestion | Loaded WHO road traffic mortality dataset
2026-01-18 05:24:59,010 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-18 05:25:25,805 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
2026-01-19 14:50:50,700 | INFO | n4_phase1_ingestion | Loaded UNODC homicide dataset
2026-01-19 14:50:50,805 | INFO | n4_phase1_ingestion | Loaded WHO road traffic mortality dataset
2026-01-19 14:51:01,215 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-19 14:51:24,903 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
2026-01-19 14:53:59,964 | INFO | n4_phase1_ingestion | Loaded UNODC homicide dataset
2026-01-19 14:54:00,040 | INFO | n4_phase1_ingestion | Loaded WHO road traffic mortality dataset
2026-01-19 14:54:08,338 | INFO | n4_phase1_ingestion | Loaded EM-DAT disaster dataset
2026-01-19 14:54:30,899 | INFO | n4_phase1_ingestion | All raw datasets loaded for Phase 2
